Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597095/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-6.webp,39,Combo Hairbow view 39,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597096/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-7.webp,40,Combo Hairbow view 40,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597067/scrunchcreate/products/hairbow/combo/3-layered-bow-combo/sc-hairbow-combo-3-layered-bow-combo-1.webp,41,Combo Hairbow view 41,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597068/scrunchcreate/products/hairbow/combo/3-layered-bow-combo/sc-hairbow-combo-3-layered-bow-combo-2.webp,42,Combo Hairbow view 42,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597069/scrunchcreate/products/hairbow/combo/3-layered-bow-combo/sc-hairbow-combo-3-layered-bow-combo-3.webp,43,Combo Hairbow view 43,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597070/scrunchcreate/products/hairbow/combo/3-layered-bow-combo/sc-hairbow-combo-3-layered-bow-combo-4.webp,44,Combo Hairbow view 44,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597072/scrunchcreate/products/hairbow/combo/3-layered-bow-combo/sc-hairbow-combo-3-layered-bow-combo-5.webp,45,Combo Hairbow view 45,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597073/scrunchcreate/products/hairbow/combo/jimmi-choo-bow-combo/sc-hairbow-combo-jimmi-choo-bow-combo-1.webp,46,Combo Hairbow view 46,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597075/scrunchcreate/products/hairbow/combo/mini-bow-combo/sc-hairbow-combo-mini-bow-combo-1.webp,47,Combo Hairbow view 47,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597076/scrunchcreate/products/hairbow/combo/pigtail-bow-combo/sc-hairbow-combo-pigtail-bow-combo-1.webp,48,Combo Hairbow view 48,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597077/scrunchcreate/products/hairbow/combo/pigtail-bow-combo/sc-hairbow-combo-pigtail-bow-combo-2.webp,49,Combo Hairbow view 49,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597079/scrunchcreate/products/hairbow/combo/pigtail-bow-combo/sc-hairbow-combo-pigtail-bow-combo-3.webp,50,Combo Hairbow view 50,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597080/scrunchcreate/products/hairbow/combo/pigtail-bow-combo/sc-hairbow-combo-pigtail-bow-combo-4.webp,51,Combo Hairbow view 51,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597082/scrunchcreate/products/hairbow/combo/princess-bow-combo/sc-hairbow-combo-princess-bow-combo-1.webp,52,Combo Hairbow view 52,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597083/scrunchcreate/products/hairbow/combo/princess-bow-combo/sc-hairbow-combo-princess-bow-combo-2.webp,53,Combo Hairbow view 53,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597085/scrunchcreate/products/hairbow/combo/princess-bow-combo/sc-hairbow-combo-princess-bow-combo-3.webp,54,Combo Hairbow view 54,
